country,exchange_rate_to_dollar,implied_ppp,ratio
Afghanistan,76.5,19.968,3.831129808
Albania,109.34,43.156,2.533599036
Algeria,118.72,32.106,3.697751199
Angola,302.44,142.524,2.122028571
Antigua and Barbuda,2.7,1.713,1.576182137
Antigua & Deps,2.7,1.713,1.576182137
Argentina,36.63,14.837,2.46882793
Armenia,485.8,199.902,2.430190793
Aruba,1.8,1.159,1.553062985
Australia,1.41,1.434,0.983263598
Heard and McDonald Islands,1.41,1.434,0.983263598
Christmas Island,1.41,1.434,0.983263598
Austria,0.87,0.835,1.041916168
Azerbaijan,1.7,0.434,3.917050691
Azerbaidjan,1.7,0.434,3.917050691
Bahamas,1.01,1.024,0.986328125
"Bahamas, The",1.01,1.024,0.986328125
Bahrain,0.38,0.197,1.92893401
Bangladesh,85.6,31.575,2.711005542
Barbados,2.01,1.947,1.032357473
Belarus,2.12,0.604,3.509933775
Belgium,0.87,0.822,1.058394161
Belize,2.02,1.141,1.770376862
Benin,572.65,210.889,2.715409528
Bhutan,73.38,22.59,3.248339973
Bolivia,6.95,3.212,2.163760897
Bosnia and Herzegovina,1.71,0.696,2.456896552
Bosnia-Herzegovina,1.71,0.696,2.456896552
Bosnia Herzegovina,1.71,0.696,2.456896552
Botswana,10.7,4.673,2.289749626
Brazil,3.72,2.04,1.823529412
Brunei Darussalam,1.39,0.556,2.5
Brunei,1.39,0.556,2.5
Bulgaria,1.71,0.645,2.651162791
Burkina Faso,572.65,202.612,2.826338025
Burkina,572.65,202.612,2.826338025
Burundi,1786.8,753.603,2.37100967
Cape Verde,96.27,45.508,2.115452228
Cabo Verde,96.27,45.508,2.115452228
Cambodia,4131.9,1409.968,2.93049204
Cameroon,572.57,223.66,2.560001788
Canada,1.31,1.208,1.084437086
Central African Republic,572.57,337.253,1.697746202
Central African Rep,572.57,337.253,1.697746202
Chad,572.57,200.488,2.855881649
Chile,676.2,393.476,1.718529211
China,6.94,3.499,1.983423835
"China, People's Republic of",6.94,3.499,1.983423835
Colombia,3084.25,1321.727,2.333500034
Comoros,429.12,215.087,1.995099657
Democratic Republic of the Congo,1626,979.3,1.660369652
"Congo, Dem. Rep. of the",1626,979.3,1.660369652
Congo {Democratic Rep},1626,979.3,1.660369652
Zaire,1626,979.3,1.660369652
"Congo, Republic of the...",572.57,205.847,2.781531914
"Congo, Republic of ",572.57,205.847,2.781531914
Costa Rica,596.42,390.209,1.528462952
Croatia,6.48,3.545,1.827926657
Cyprus,0.87,0.598,1.454849498
Czech Republic,22.59,13.222,1.70851611
CÃ´te d'Ivoire,576,237.603,2.424211816
Côte d'Ivoire,576,237.603,2.424211816
Ivory Coast (Cote D'Ivoire),576,237.603,2.424211816
Ivory Coast,576,237.603,2.424211816
Denmark,6.51,7.427,0.876531574
Djibouti,177.72,97.808,1.817029282
Dominica,2.7,1.904,1.418067227
Dominican Republic,50.27,21.298,2.360315523
Ecuador,1,0.537,1.862197393
Egypt,17.92,3.42,5.239766082
El Salvador,1,0.482,2.074688797
Equatorial Guinea,572.57,244.745,2.339455351
Eritrea,15.09,10.31,1.463627546
Estonia,0.87,0.561,1.550802139
Eswatini,14.36,5.221,2.750430952
Ethiopia,27.97,9.719,2.877868093
The former Yugoslav Republic of Macedonia,53.54,19.911,2.688965898
FYR Macedonia,53.54,19.911,2.688965898
Macedonia,53.54,19.911,2.688965898
Macedonia [FYROM],53.54,19.911,2.688965898
Fiji,2.15,1.175,1.829787234
Finland,0.87,0.907,0.959206174
Aland Islands,0.87,0.907,0.959206174
France,0.87,0.794,1.095717884
Andorra,0.87,0.794,1.095717884
French Guyana,0.87,0.794,1.095717884
Martinique (French),0.87,0.794,1.095717884
Monaco,0.87,0.794,1.095717884
New Caledonia (French),0.87,0.794,1.095717884
Polynesia (French),0.87,0.794,1.095717884
Reunion (French),0.87,0.794,1.095717884
Gabon,572.57,247.669,2.311835555
Gambia,49.48,12.869,3.844898594
"Gambia, The",49.48,12.869,3.844898594
Georgia,2.7,0.966,2.795031056
Germany,0.87,0.776,1.121134021
Ghana,4.84,1.667,2.903419316
Greece,0.87,0.586,1.484641638
Grenada,2.7,1.858,1.453175457
Guatemala,7.78,4.078,1.90779794
Guinea,9100.35,3519.444,2.585735133
Guinea-Bissau,572.65,241.368,2.372518312
Guyana,210.29,116.973,1.797765296
Haiti,71.69,30.679,2.3367776
Honduras,24.18,11.758,2.056472189
Hong Kong (S.A.R.),7.84,5.833,1.344076804
Hong Kong,7.84,5.833,1.344076804
Hong Kong SAR,7.84,5.833,1.344076804
Hungary,282.23,132.462,2.13064879
Iceland,117.73,144.95,0.812211107
India,73.46,18.07,4.065301605
Indonesia,15187.75,4227.164,3.592893486
"Iran, Islamic Republic of...",42105,12231.797,3.442257912
Iran,42105,12231.797,3.442257912
Iraq,1199.9,404.561,2.965930972
Ireland,0.87,0.816,1.066176471
Ireland {Republic},0.87,0.816,1.066176471
Israel,3.67,3.89,0.94344473
Italy,0.87,0.734,1.185286104
Vatican City State,0.87,0.734,1.185286104
Vatican City,0.87,0.734,1.185286104
Jamaica,132.19,73.736,1.792747098
Japan,112.45,98.892,1.137099058
Jordan,0.71,0.319,2.225705329
Kazakhstan,366.52,118,3.106101695
Kenya,100.94,51.574,1.95718773
Kiribati,1.4,1.128,1.241134752
Republic of Korea,1130.51,851.662,1.327416275
"Korea, Republic of",1130.51,851.662,1.327416275
South Korea,1130.51,851.662,1.327416275
Korea South,1130.51,851.662,1.327416275
Kosovo,0.87,0.317,2.744479495
Kuwait,0.3,0.144,2.083333333
Kyrgyzstan,69.32,22.63,3.063190455
Kyrgyz Republic,69.32,22.63,3.063190455
Lao P.D.R.,8579.65,2814.951,3.047886091
Laos,8579.65,2814.951,3.047886091
Latvia,0.87,0.504,1.726190476
Lebanon,1521.45,937.401,1.623051394
Lesotho,14.47,5.61,2.579322638
Liberia,1,0.5,2
Libyan Arab Jamahiriya,1.39,0.852,1.631455399
Libya,1.39,0.852,1.631455399
Lithuania,0.87,0.456,1.907894737
Luxembourg,0.87,0.88,0.988636364
Macao SAR,8.12,5.545,1.464382326
Macau,8.12,5.545,1.464382326
Madagascar,3558.75,947.275,3.756828798
Malawi,732.31,212.195,3.451118075
Malaysia,4.16,1.424,2.921348315
Maldives,15.46,10.027,1.54183704
Mali,572.65,216.295,2.647541552
Malta,0.87,0.578,1.505190311
Marshall Islands,1,1.118,0.894454383
Mauritania,357,102.942,3.467972256
Mauritius,34.52,15.937,2.166028738
Mexico,19.11,9.111,2.097464603
"Micronesia, Federated States of...",1,0.93,1.075268817
"Micronesia, Fed. States of",1,0.93,1.075268817
Moldova,17.08,7.613,2.243530803
Moldavia,17.08,7.613,2.243530803
Mongolia,2490.6,722.688,3.446300478
Montenegro,0.87,0.385,2.25974026
Morocco,9.5,3.534,2.688172043
Mozambique,60.54,22.361,2.707392335
Myanmar,1598.9,271.987,5.878589786
"Myanmar, {Burma}",1598.9,271.987,5.878589786
Myanmar [Burma],1598.9,271.987,5.878589786
Namibia,14.58,6.706,2.174172383
Nauru,1.41,0.944,1.493644068
Nepal,118.32,34.915,3.388801375
Netherlands,0.87,0.789,1.102661597
Netherlands Antilles,1.78,0.789,2.256020279
New Zealand,1.52,1.486,1.022880215
Cook Islands,1.52,1.486,1.022880215
Nicaragua,32.3,11.807,2.735665283
Niger,572.65,222.123,2.578076111
Nigeria,363.5,110.489,3.289920264
Norway,8.27,8.959,0.923094095
Bouvet Island,8.27,8.959,0.923094095
Oman,0.39,0.158,2.46835443
Pakistan,133.27,29.955,4.449006844
Palau,1,1.102,0.907441016
Panama,1.01,0.593,1.703204047
Papua New Guinea,3.38,2.243,1.506910388
Paraguay,5983.7,2506.562,2.387214041
Peru,3.35,1.631,2.053954629
Philippines,53.83,18.387,2.9276119
Poland,3.75,1.756,2.135535308
Portugal,0.87,0.61,1.426229508
Puerto Rico,1,0.805,1.242236025
Qatar,3.64,1.921,1.894846434
Romania,4.08,1.826,2.234392114
Russian Federation,65.72,23.538,2.79208089
Russia,65.72,23.538,2.79208089
Rwanda,891.2,309.899,2.875775656
Saint Kitts and Nevis,2.7,1.667,1.619676065
Saint Lucia,2.7,1.781,1.516002246
Saint Vincent and the Grenadines,2.7,1.694,1.593860685
Saint Vincent & Grenadines,2.7,1.694,1.593860685
Samoa,2.65,1.897,1.396942541
San Marino,0.87,0.697,1.2482066
Saudi Arabia,3.75,1.555,2.411575563
Senegal,572.65,223.49,2.562307038
Serbia,103.46,42.244,2.449105198
Seychelles,13.61,7.518,1.810321894
Sierra Leone,8350,2460.015,3.394288246
Singapore,1.38,0.836,1.650717703
Slovakia,0.87,0.472,1.843220339
Slovak Republic,0.87,0.472,1.843220339
Slovenia,0.87,0.609,1.428571429
Solomon Islands,8.1,7.98,1.015037594
Somalia,1,0.343,2.91545
South Africa,14.37,6.209,2.314382348
South Sudan,130.26,31.863,4.088127295
"South Sudan, Republic of",130.26,31.863,4.088127295
Spain,0.87,0.649,1.340523883
Sri Lanka,172.27,49.616,3.472065463
Sudan,47.32,6.69,7.073243647
Suriname,7.46,3.162,2.359266287
Sweden,9.03,8.838,1.021724372
Switzerland,1,1.259,0.794281176
Liechtenstein,1,1.259,0.794281176
São Tomé and Príncipe,21110.53,12628.915,1.671602826
Taiwan,30.9,14.488,2.132799558
Taiwan Province of China,30.9,14.488,2.132799558
Tajikistan,9.47,2.205,4.29478458
Tadjikistan,9.47,2.205,4.29478458
Tanzania,2288.3,720.865,3.174380779
Thailand,32.59,12.368,2.635025873
Timor-Leste,1,0.426,2.34741784
Togo,572.65,212.736,2.69183401
Tonga,2.3,1.681,1.368233195
Trinidad and Tobago,6.78,3.565,1.901823282
Trinidad & Tobago,6.78,3.565,1.901823282
Tunisia,2.84,0.736,3.858695652
Turkey,5.62,1.58,3.556962025
Turkmenistan,3.51,1.329,2.641083521
Tuvalu,1.41,1.276,1.105015674
Uganda,3781.05,1105.194,3.421164067
Ukraine,28.2,8.738,3.227283131
United Arab Emirates,3.67,2.168,1.692804428
United Kingdom,0.77,0.692,1.112716763
Anguilla,2.7,0.692,3.901734104
Bermuda,1,0.692,1.445086705
British Indian Ocean Territory,0.77,0.692,1.112716763
Cayman Islands,0.84,0.692,1.213872832
Falkland Islands,0.77,0.692,1.112716763
Gibraltar,0.76,0.692,1.098265896
